City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.73,-155.09,80.6,65,75,12.75,broken clouds
1,Avarua,CK,-21.21,-159.78,80.6,74,89,23.04,overcast clouds
2,Kismayo,SO,-0.36,42.55,80.26,82,76,12.37,light rain
3,Rikitea,PF,-23.12,-134.97,76.23,79,100,18.28,overcast clouds
4,Guigue,VE,10.09,-67.78,73.02,89,97,3.49,overcast clouds
5,New Norfolk,AU,-42.78,147.06,72.0,38,99,5.01,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,37.4,86,40,9.17,shower rain
7,Mataura,NZ,-46.19,168.86,61.0,53,100,1.99,overcast clouds
8,Bandarbeyla,SO,9.49,50.81,74.68,78,55,14.63,broken clouds
9,Lithakia,GR,37.72,20.83,48.2,76,0,4.7,clear sky
10,Callaway,US,30.15,-85.57,73.4,88,1,3.36,clear sky
11,Coihaique,CL,-45.58,-72.07,46.4,75,75,9.17,light intensity shower rain
12,Narsaq,GL,60.92,-46.05,23.0,53,100,14.99,light shower snow
13,Tasiilaq,GL,65.61,-37.64,19.4,44,6,25.28,clear sky
14,Tura,IN,25.52,90.22,61.92,62,50,4.61,scattered clouds
15,Cape Town,ZA,-33.93,18.42,64.0,67,0,20.8,clear sky
16,Punta Arenas,CL,-53.15,-70.92,42.8,67,20,25.28,few clouds
17,Semey,KZ,50.41,80.23,5.0,84,74,6.71,broken clouds
18,Port Alfred,ZA,-33.59,26.89,64.2,76,75,27.22,broken clouds
19,Ribeira Grande,PT,38.52,-28.7,57.07,66,88,23.0,overcast clouds
20,Avera,US,33.19,-82.53,60.8,67,1,3.94,clear sky
21,Vaini,TO,-21.2,-175.2,84.2,79,75,21.92,broken clouds
22,Atuona,PF,-9.8,-139.03,79.0,71,41,20.27,scattered clouds
23,Alcanena,PT,39.46,-8.67,51.01,99,45,2.39,scattered clouds
24,Hobart,AU,-42.88,147.33,72.0,34,20,12.75,few clouds
25,Adrar,MR,20.5,-10.07,62.24,48,28,8.46,scattered clouds
26,Beloha,MG,-25.17,45.05,74.12,80,100,8.08,overcast clouds
27,Azul,AR,-36.78,-59.86,72.25,55,0,11.56,clear sky
28,Anito,PH,12.45,125.29,80.91,87,100,10.4,overcast clouds
29,Misratah,LY,32.38,15.09,66.2,75,0,20.54,clear sky
30,Mandera,KE,3.94,41.87,83.88,55,75,8.16,broken clouds
31,Bluff,NZ,-46.6,168.33,61.0,53,100,1.99,overcast clouds
32,Korem,ET,12.51,39.52,53.06,99,37,0.81,light rain
33,San Jose,US,37.34,-121.89,64.4,17,20,4.7,few clouds
34,Qaanaaq,GL,77.48,-69.36,-3.46,84,100,5.61,overcast clouds
35,Pulo,PH,15.25,120.93,77.0,83,75,2.24,moderate rain
36,Tilichiki,RU,60.47,166.1,-4.14,94,47,9.66,scattered clouds
37,Pimenta Bueno,BR,-11.67,-61.19,72.57,93,67,4.59,light rain
38,Faanui,PF,-16.48,-151.75,81.03,73,93,3.87,overcast clouds
39,College,US,64.86,-147.8,8.6,84,75,4.9,broken clouds
40,Itarema,BR,-2.92,-39.92,80.94,75,31,16.28,scattered clouds
41,Castro,BR,-24.79,-50.01,64.74,95,100,7.0,moderate rain
42,Severo-Kurilsk,RU,50.68,156.12,27.84,91,87,20.96,overcast clouds
43,Provideniya,RU,64.38,-173.3,24.84,96,80,11.99,broken clouds
44,Mirador,BR,-6.37,-44.36,75.79,80,93,1.92,light rain
45,Chama,CH,47.18,8.46,35.6,93,90,1.12,mist
46,Albany,US,42.6,-73.97,46.99,85,100,3.04,overcast clouds
47,Moranbah,AU,-22.0,148.05,82.87,33,80,16.73,broken clouds
48,Stepnogorsk,KZ,52.35,71.89,8.4,95,100,8.12,overcast clouds
49,Alofi,NU,-19.06,-169.92,82.4,88,75,9.17,broken clouds
50,Longyearbyen,SJ,78.22,15.64,33.8,80,90,34.45,light shower snow
51,Bengkulu,ID,-3.8,102.27,73.89,95,96,2.62,moderate rain
52,Kotma,IN,23.2,81.97,56.25,70,44,3.02,scattered clouds
53,Butaritari,KI,3.07,172.79,82.2,74,35,14.0,scattered clouds
54,Arraial Do Cabo,BR,-22.97,-42.03,74.89,86,24,20.89,few clouds
55,Diego De Almagro,CL,-26.37,-70.05,61.16,52,0,3.51,clear sky
56,Busselton,AU,-33.65,115.33,59.0,73,7,9.15,clear sky
57,Manjacaze,MZ,-24.71,33.88,72.54,89,100,9.08,overcast clouds
58,San Cristobal,VE,7.77,-72.22,78.8,83,75,5.82,broken clouds
59,Madras,IN,13.09,80.28,75.2,94,40,3.36,mist
60,Lagoa,PT,39.05,-27.98,56.3,65,86,25.72,overcast clouds
61,East London,ZA,-33.02,27.91,65.39,75,92,20.92,overcast clouds
62,Clyde River,CA,70.47,-68.59,-9.4,76,75,5.82,broken clouds
63,Barrow,US,71.29,-156.79,6.8,77,90,12.75,overcast clouds
64,Jamestown,US,42.1,-79.24,43.0,80,90,5.82,overcast clouds
65,Mantua,IT,45.17,10.78,39.0,99,22,1.01,few clouds
66,Wangqing,CN,43.32,129.76,12.4,88,0,3.24,clear sky
67,Sooke,CA,48.37,-123.73,51.8,71,85,4.7,overcast clouds
68,Beyneu,KZ,45.32,55.2,27.12,96,40,6.17,scattered clouds
69,Geraldton,AU,-28.77,114.6,66.2,48,7,21.92,clear sky
70,Calabozo,VE,8.92,-67.43,76.89,92,100,4.9,overcast clouds
71,Thiruvananthapuram,IN,8.48,76.92,78.8,78,40,2.24,mist
72,Kapaa,US,22.08,-159.32,80.6,69,20,20.8,few clouds
73,Nanortalik,GL,60.14,-45.24,28.36,97,100,13.78,snow
74,Manakara,MG,-22.13,48.02,72.95,93,5,4.32,clear sky
75,Eureka,US,40.8,-124.16,57.0,67,33,1.39,scattered clouds
76,Zenzeli,RU,45.92,47.05,33.35,90,6,7.27,clear sky
77,Haines Junction,CA,60.75,-137.51,12.2,78,100,5.82,overcast clouds
78,Kumluca,TR,36.37,30.29,59.88,36,43,7.38,scattered clouds
79,Kedgwick,CA,47.64,-67.34,34.74,97,100,2.77,overcast clouds
80,Ughelli,NG,5.49,6.01,75.04,95,36,2.93,scattered clouds
81,Opuwo,NA,-18.06,13.84,72.27,40,33,0.92,scattered clouds
82,Saint-Philippe,RE,-21.36,55.77,75.2,69,75,4.7,broken clouds
83,Iqaluit,CA,63.75,-68.51,23.0,85,90,16.11,light snow
84,Thompson,CA,55.74,-97.86,19.4,85,90,4.7,overcast clouds
85,Talnakh,RU,69.49,88.4,10.4,85,100,22.37,light snow
86,Torbay,CA,47.67,-52.73,50.0,87,90,18.34,overcast clouds
87,Bredasdorp,ZA,-34.53,20.04,64.4,68,100,14.99,overcast clouds
88,Souillac,MU,-20.52,57.52,73.4,73,40,8.05,scattered clouds
89,Samfya,ZM,-11.36,29.56,68.13,85,89,3.96,overcast clouds
90,Amga,RU,60.9,131.96,-4.49,89,100,5.59,overcast clouds
91,Tuktoyaktuk,CA,69.45,-133.04,3.2,84,90,3.36,overcast clouds
92,Sola,VU,-13.88,167.55,80.4,77,4,6.46,clear sky
93,Hermanus,ZA,-34.42,19.23,63.0,79,100,5.01,overcast clouds
94,Mount Isa,AU,-20.73,139.5,91.4,33,14,13.87,few clouds
95,Tezu,IN,27.92,96.17,66.22,39,100,2.51,moderate rain
96,Tiksi,RU,71.69,128.87,0.86,92,92,6.67,overcast clouds
97,Tautira,PF,-17.73,-149.15,87.8,70,40,9.17,scattered clouds
98,Shingu,JP,33.73,135.98,53.6,46,40,23.04,scattered clouds
99,Mayumba,GA,-3.43,10.66,76.64,89,100,3.13,light rain
100,Elliot,ZA,-31.33,27.85,51.91,58,37,4.65,scattered clouds
101,Chokurdakh,RU,70.63,147.92,-9.13,92,100,3.98,overcast clouds
102,Hithadhoo,MV,-0.6,73.08,81.68,72,83,10.45,broken clouds
103,Gazanjyk,TM,39.24,55.52,37.94,83,0,5.75,clear sky
104,Pangai,TO,-19.8,-174.35,84.2,83,75,5.82,broken clouds
105,Coquimbo,CL,-29.95,-71.34,60.8,72,0,8.05,clear sky
106,Kostomuksha,RU,64.57,30.58,22.21,98,89,2.39,overcast clouds
107,Northam,GB,51.03,-4.22,44.01,95,85,5.99,light rain
108,Dikson,RU,73.51,80.55,25.14,99,100,16.55,light snow
109,Howard Springs,AU,-12.5,131.05,91.0,70,40,6.93,scattered clouds
110,Athabasca,CA,54.72,-113.29,30.2,58,20,4.7,few clouds
111,Milyutinskaya,RU,48.63,41.67,34.21,90,97,8.16,overcast clouds
